;Codigo;Nome;Preco;VolumeMedio;DividendYield;PatrimonioLiq;P/VP;Cotas;Segmento;Valorizacao12Meses
THRA11;THRA11;FDO INV IMOB - FII CYRELA THERA CORPORATE;R$ 131,40;2.260;0,44%;R$ 150 mi;1,29;1.368.247;Lajes Corporativas;0.12
TRNT11;TRNT11;FDO INV IMOB - FII TORRE NORTE;R$ 186,01;91;0,45%;R$ 780 mi;0,93;3.935.562;Lajes Corporativas;0.07
TRXL11;TRXL11;TRX REALTY LOGÍSTICA RENDA I FDO INV IMOB - FII;R$ 96,99;6.093;0,44%;R$ 180 mi;0,98;1.649.303;Logística;-0.06
UBSR11;UBSR11;FDO INV IMOB - FII UBS (BR) RECEB IMOB;R$ 104,00;9.445;0,73%;R$ 230 mi;1,07;310.888;Títulos e Val. Mob.;0.0
VGIR11;VGIR11;VALORA RE III FDO INV IMOB - FII;R$ 103,10;3.039;0,72%;R$ 110 mi;1,06;401.618;Títulos e Val. Mob.;0.0
VILG11;VILG11;VINCI LOGÍSTICA FDO INV IMOB - FII;R$ 110,02;934;0,71%;R$ 77 mi;1,03;717.200;Logística;0.0
VISC11;VISC11;VINCI SHOPPING CENTERS FDO INVEST IMOB - FII;R$ 104,16;21.741;0,46%;R$ 820 mi;1,03;3.215.033;Shoppings;0.03
VLOL11;VLOL11;FDO INV IMOB - FII VILA OLÍMPIA CORPORATE;R$ 98,96;2.941;0,32%;R$ 150 mi;1,16;1.784.828;Lajes Corporativas;0.14
VOTS11;VOTS11;VOTORANTIM SECURITIES MASTER FDO INV IMOB - FII;R$ 86,95;129;0,45%;R$ 81 mi;0,89;827.913;Títulos e Val. Mob.;0.0
VRTA11;VRTA11;FATOR VERITA FDO INV IMOB - FII;R$ 134,99;5.782;0,79%;R$ 230 mi;1,33;28.941.930;Títulos e Val. Mob.;-0.02
VSHO11;VSHO11;FDO INV IMOB VOTORANTIM SHOPPING;R$ 100,60;675;0,59%;R$ 210 mi;0,99;2.098.800;Shoppings;0.0
VTLT11;VTLT11;FDO INV IMOB VOTORANTIM LOGISTICA;R$ 100,01;3.478;0,68%;R$ 210 mi;1,03;2.115.000;Logística;0.0
WPLZ11;WPLZ11;FDO INV IMOB - FII SHOPPING WEST PLAZA;R$ 80,49;472;0,56%;R$ 79 mi;1,01;989.339;Shoppings;-0.04
XPCM11;XPCM11;XP CORPORATE MACAÉ FDO INV IMOB - FII;R$ 92,81;6.620;0,89%;R$ 200 mi;1,12;2.414.570;Lajes Corporativas;0.04
XPIN11;XPIN11;XP INDUSTRIAL FDO INV IMOB - FII;R$ 114,00;4.816;0,56%;R$ 250 mi;1,01;1.593.037;Outros;0.0
XPLG11;XPLG11;XP LOG FDO INV IMOB - FII;R$ 100,60;13.846;0,67%;R$ 370 mi;1,01;3.661.150;Logística;0.0
XPML11;XPML11;XP MALLS FDO INV IMOB FII;R$ 106,19;37.871;0,50%;R$ 950 mi;1,06;3.750.000;Shoppings;0.05
XTED11;XTED11;TRX EDIFÍCIOS CORPORATIVOS FDO INV IMOB - FII;R$ 6,29;5.329;0,00%;R$ 26 mi;0,43;1.467.000;Lajes Corporativas;-0.49
